cell_id,Dr. 123 Kid,Dr. Do Little,Dr. Scrubs
1000001,Type1,Type2,Type2
1000002,Type4,Type5,Type5
1000003,Type4,Type6,Type5
1000004,Type3,Type3,Type3
1000005,Type4,Type5,Type5
1000006,Type5,Type2,Type5
1000007,Type4,Type2,Type5
1000008,Type1,Type5,Type5
1000009,Type4,Type5,Type5
1000010,Type4,Type5,Type5
1000011,Type7,Type7,Type5
1000012,Type2,Type5,Type5
1000013,Type4,Type5,Type5
1000014,Type4,Type5,Type5
1000015,Type4,Type5,Type5
1000016,Type4,Type5,Type5
1000017,Type4,Type5,Type5
1000018,Type1,Type2,Type5
1000019,Type4,Type5,Type5
1000020,Type4,Type5,Type5
1000021,Type4,Type5,Type5
1000022,Type4,Type5,Type5
1000023,Type4,Type5,Type5
1000024,Type4,Type5,Type5
1000025,Type1,Type5,Type5
1000026,Type4,Type5,Type5
1000027,Type6,Type6,Type6
1000028,Type1,Type5,Type5
1000029,Type1,Type2,Type2
1000030,Type4,Type5,Type5
1000031,Type4,Type3,Type3
1000032,Type4,Type5,Type5
1000033,Type4,Type5,Type6
1000034,Type4,Type5,Type5
1000035,Type4,Type5,Type5
1000036,Type4,Type5,Type5
1000037,Type2,Type2,Type5
1000038,Type4,Type5,Type6
1000039,Type4,Type5,Type5
1000040,Type1,Type2,Type5
1000041,Type4,Type7,Type5
1000042,Type2,Type2,Type5
1000043,Type6,Type5,Type5
1000044,Type3,Type3,Type3
1000045,Type6,Type5,Type5
1000046,Type4,Type5,Type5
1000047,Type6,Type6,Type5
1000048,Type2,Type2,Type5
1000049,Type4,Type5,Type5
1000050,Type4,Type5,Type5
1000051,Type4,Type5,Type5
1000052,Type4,Type5,Type5
1000053,Type6,Type5,Type5
1000054,Type4,Type5,Type5
1000055,Type4,Type4,Type5
1000056,Type4,Type5,Type5
1000057,Type4,Type2,Type5
1000058,Type3,Type3,Type3
1000059,Type1,Type2,Type2
1000060,Type1,Type2,Type5
1000061,Type1,Type5,Type5
1000062,Type4,Type5,Type5
1000063,Type4,Type5,Type5
1000064,Type4,Type5,Type5
1000065,Type1,Type2,Type2
1000066,Type4,Type5,Type5
1000067,Type4,Type5,Type5
1000068,Type4,Type5,Type5
1000069,Type4,Type3,Type3
1000070,Type4,Type5,Type5
1000071,Type6,Type6,Type6
1000072,Type4,Type3,Type3
1000073,Type4,Type4,Type5
1000074,Type4,Type4,Type5
1000075,Type3,Type3,Type3
1000076,Type2,Type2,Type5
1000077,Type4,Type3,Type3
1000078,Type4,Type5,Type5
1000079,Type4,Type5,Type5
1000080,Type4,Type2,Type5
1000081,Type4,Type5,Type5
1000082,Type4,Type5,Type5
1000083,Type4,Type2,Type2
1000084,Type4,Type3,Type3
1000085,Type4,Type1,Type1
1000086,Type4,Type10,Type5
1000087,Type4,Type3,Type3
1000088,Type4,Type5,Type6
1000089,Type4,Type2,Type2
1000090,Type4,Type5,Type5
1000091,Type2,Type9,Type2
1000092,Type4,Type5,Type5
1000093,Type6,Type6,Type6
1000094,Type4,Type5,Type5
1000095,Type4,Type5,Type5
